CAMPUS	ALLRTF	CAD_MATH	CAD_PROGRESS	CAD_READ	CAMPNAME	CFLAEATYPE	CFLAEC	CFLALTED	CFLCHART	CFLDAEP	CFLEEK	CFLJJ	CFLNEWCAMP	CFLPAIR	CFLPAIRD	CFLPAIRO	CFLRTF	CI1	CI1_CUT	CI1_MAXPTS	CI1_MET	CI1_TOTPTS	CI2	CI2_CUT	CI2_MAXPTS	CI2_MET	CI2_TOTPTS	CI3	CI3_CUT	CI3_MAXPTS	CI3_MET	CI3_TOTPTS	CI4	CI4_CUT	CI4_MAXPTS	CI4_MET	CI4_TOTPTS	CNTYNAME	COUNTY	CPEMALLC	CPEMALLP	CPEMALLT	CPETALLC	CPETECOC	CPETECOP	CPETLEPC	CPETLEPP	C_RATING	C_UPDATE	DISTNAME	GRDHIGH	GRDLOW	GRDSPAN	GRDTYPE	PAIRCAMP	PAIRNAME	REGION	REGNNAME	RFTED
001902001	N	0	1	0	CAYUGA H S	 	N	N	N	N	N	N	N	N	N	N	N	88	50	693	Y	610	31	17	1200	Y	367	85	55	500	Y	427	88	75	400	Y	350.6	ANDERSON	001	37	16.8	220	206	60	29.1	3	1.5	M	 	CAYUGA ISD	12	09	09 - 12	S	 	 	07	REGION 07: KILGORE	 
001902041	N	0	0	0	CAYUGA MIDDLE	 	N	N	N	N	N	N	N	N	N	N	N	85	50	414	Y	352	31	29	800	Y	247	76	55	500	Y	379	.	75	.	 	.	ANDERSON	001	22	13.3	165	146	53	36.3	0	0	M	 	CAYUGA ISD	08	06	06 - 08	M	 	 	07	REGION 07: KILGORE	 
001902103	N	0	0	1	CAYUGA EL	 	N	N	N	N	N	N	N	N	N	N	N	89	50	256	Y	227	45	30	800	Y	357	85	55	400	Y	339	.	75	.	 	.	ANDERSON	001	34	16	213	243	114	46.9	2	0.8	M	 	CAYUGA ISD	05	EE	EE - 05	E	 	 	07	REGION 07: KILGORE	 
001903001	N	0	1	0	ELKHART H S	 	N	N	N	N	N	N	N	N	N	N	N	83	50	1207	Y	997	29	17	1200	Y	342	74	55	500	Y	372	86	75	400	Y	343.6	ANDERSON	001	59	15.5	380	349	129	37	0	0	M	 	ELKHART ISD	12	09	09 - 12	S	 	 	07	REGION 07: KILGORE	 
001903041	N	0	0	0	ELKHART MIDDLE	 	N	N	N	N	N	N	N	N	N	N	N	77	50	828	Y	641	36	29	800	Y	290	66	55	700	Y	464	.	75	.	 	.	ANDERSON	001	45	13.8	325	284	137	48.2	0	0	M	 	ELKHART ISD	08	06	06 - 08	M	 	 	07	REGION 07: KILGORE	 
001903101	N	 	 	 	ELKHART EL	 	N	N	N	N	N	N	N	Y	N	N	N	.	.	0	P	0	.	30	0	P	.	.	.	0	P	.	.	.	.	P	.	ANDERSON	001	33	17.7	186	327	235	71.9	11	3.4	M	 	ELKHART ISD	02	EE	EE - 02	E	001903102	ELKHART INT	07	REGION 07: KILGORE	 
001903102	N	1	1	0	ELKHART INT	 	N	N	N	N	N	N	N	N	N	Y	N	85	50	718	Y	612	51	30	800	Y	411	85	55	800	Y	677	.	75	.	 	.	ANDERSON	001	42	13.2	317	276	135	48.9	5	1.8	M	 	ELKHART ISD	05	03	03 - 05	E	 	 	07	REGION 07: KILGORE	 
001904001	N	1	0	0	FRANKSTON H S	 	N	N	N	N	N	N	N	N	N	N	N	80	50	712	Y	571	26	17	1000	Y	257	73	55	700	Y	514	96	75	400	Y	384.4	ANDERSON	001	35	15.5	226	210	114	54.3	0	0	M	 	FRANKSTON ISD	12	09	09 - 12	S	 	 	07	REGION 07: KILGORE	 
001904041	N	0	0	0	FRANKSTON MIDDLE	 	N	N	N	N	N	N	N	N	N	N	N	80	50	507	Y	404	33	29	800	Y	265	67	55	500	Y	334	.	75	.	 	.	ANDERSON	001	27	14.1	191	169	93	55	3	1.8	M	 	FRANKSTON ISD	08	06	06 - 08	M	 	 	07	REGION 07: KILGORE	 
001904102	N	1	1	1	FRANKSTON EL	 	N	N	N	N	N	N	N	N	N	N	N	83	50	401	Y	334	50	30	800	Y	401	78	55	400	Y	311	.	75	.	 	.	ANDERSON	001	70	21.7	322	372	236	63.4	11	3	M	 	FRANKSTON ISD	05	EE	EE - 05	E	 	 	07	REGION 07: KILGORE	 
