CAMPUS	CAD_GAP	CAD_MATH	CAD_POST	CAD_PROGRESS	CAD_READ	CAD_SCIE	CAD_SOCI	CAMPNAME	CFLAEATYPE	CFLAEC	CFLALTED	CFLCHART	CFLDAEP	CFLEEK	CFLJJ	CFLNEWCAMP	CFLPAIR	CFLPAIRD	CFLPAIRO	CFLRTF	CI1	CI1_CUT	CI1_MAXPTS	CI1_MET	CI1_TOTPTS	CI2	CI2_CUT	CI2_MAXPTS	CI2_MET	CI2_TOTPTS	CI3	CI3_CUT	CI3_MAXPTS	CI3_MET	CI3_TOTPTS	CI4	CI4_CRB_WGT	CI4_CUT	CI4_GRD_WGT	CI4_MET	CI4_RHS_WGT	CI4_STR_WGT	CNTYNAME	COUNTY	CPEMALLC	CPEMALLP	CPEMALLT	CPETALLC	CPETECOC	CPETECOP	CPETLEPC	CPETLEPP	C_RATING	C_UPDATE	DISTNAME	DISTRICT	GRDHIGH	GRDLOW	GRDSPAN	GRDTYPE	PAIRCAMP	PAIRNAME	REGION	REGNNAME
001902001	0	0	0	 	0	0	0	CAYUGA H S	 	N	N	N	N	N	N	N	N	N	N	N	87	55	272	Y	237	.	.	600	 	173	46	31	800	Y	366	74	16.1	57	23.5	Y	21	13.6	ANDERSON	001	29	13	223	192	61	31.8	1	0.5	M	 	CAYUGA ISD	001902	12	09	09 - 12	S	 	 	07	REGION 07: KILGORE
001902041	0	0	0	1	0	0	0	CAYUGA MIDDLE	 	N	N	N	N	N	N	N	N	N	N	N	87	55	369	Y	320	39	28	800	Y	313	44	27	1000	Y	437	45	.	13	.	Y	.	45	ANDERSON	001	22	14	157	124	49	39.5	0	0	M	 	CAYUGA ISD	001902	08	06	06 - 08	M	 	 	07	REGION 07: KILGORE
001902103	1	0	0	0	1	0	 	CAYUGA EL	 	N	N	N	N	N	N	N	N	N	N	N	90	55	278	Y	251	41	33	800	Y	327	47	28	800	Y	374	39	.	12	.	Y	.	39	ANDERSON	001	47	22	214	237	100	42.2	1	0.4	M	 	CAYUGA ISD	001902	05	PK	PK - 05	E	 	 	07	REGION 07: KILGORE
001903001	1	0	0	 	0	0	1	ELKHART H S	 	N	N	N	N	N	N	N	N	N	N	N	91	55	514	Y	470	.	.	600	 	162	50	31	800	Y	399	72	16.5	57	24.7	Y	18.2	12.9	ANDERSON	001	57	14.9	383	360	135	37.5	0	0	M	 	ELKHART ISD	001903	12	09	09 - 12	S	 	 	07	REGION 07: KILGORE
001903041	0	0	0	0	0	0	0	ELKHART MIDDLE	 	N	N	N	N	N	N	N	N	N	N	N	81	55	818	Y	665	31	28	800	Y	249	41	27	1000	Y	407	31	.	13	.	Y	.	31	ANDERSON	001	36	11.7	308	287	142	49.5	0	0	M	 	ELKHART ISD	001903	08	06	06 - 08	M	 	 	07	REGION 07: KILGORE
001903101	 	 	 	 	 	 	 	ELKHART EL	 	N	N	N	N	N	N	N	Y	N	N	N	.	.	0	P	0	.	33	0	P	.	.	.	0	P	.	.	.	.	.	P	.	.	ANDERSON	001	34	18.7	182	292	204	69.9	10	3.4	M	 	ELKHART ISD	001903	02	EE	EE - 02	E	001903102	ELKHART INT	07	REGION 07: KILGORE
001903102	0	0	0	1	0	0	 	ELKHART INT	 	N	N	N	N	N	N	N	N	N	Y	N	86	55	684	Y	585	49	33	800	Y	394	43	28	800	Y	342	38	.	12	.	Y	.	38	ANDERSON	001	47	15.1	312	268	141	52.6	2	0.7	M	 	ELKHART ISD	001903	05	03	03 - 05	E	 	 	07	REGION 07: KILGORE
001904001	0	0	0	 	0	0	0	FRANKSTON H S	 	N	N	N	N	N	N	N	N	N	N	N	79	55	289	Y	228	.	.	600	 	145	40	31	800	Y	321	69	9.5	57	25	Y	22.6	11.8	ANDERSON	001	50	20.8	240	223	118	52.9	1	0.4	M	 	FRANKSTON ISD	001904	12	09	09 - 12	S	 	 	07	REGION 07: KILGORE
001904041	0	0	1	0	0	1	0	FRANKSTON MIDDLE	 	N	N	N	N	N	N	N	N	N	N	N	82	55	520	Y	428	32	28	800	Y	255	40	27	1000	Y	395	43	.	13	.	Y	.	43	ANDERSON	001	33	16.7	198	178	96	53.9	4	2.2	M	 	FRANKSTON ISD	001904	08	06	06 - 08	M	 	 	07	REGION 07: KILGORE
001904102	0	0	0	0	1	0	 	FRANKSTON EL	 	N	N	N	N	N	N	N	N	N	N	N	80	55	400	Y	320	45	33	800	Y	359	41	28	800	Y	330	40	.	12	.	Y	.	39.5	ANDERSON	001	54	17.2	314	361	231	64	10	2.8	M	 	FRANKSTON ISD	001904	05	EE	EE - 05	E	 	 	07	REGION 07: KILGORE
