CAMPUS	CAD_GAP	CAD_MATH	CAD_POST	CAD_PROGRESS	CAD_READ	CAD_SCIE	CAD_SOCI	CAMPNAME	CFLAEATYPE	CFLAEC	CFLALTED	CFLCHART	CFLDAEP	CFLEEK	CFLJJ	CFLNEWCAMP	CFLPAIR	CFLPAIRD	CFLPAIRO	CFLRTF	CI1	CI1_CUT	CI1_MAXPTS	CI1_MET	CI1_TOTPTS	CI2	CI2_CUT	CI2_MAXPTS	CI2_MET	CI2_TOTPTS	CI3	CI3_CUT	CI3_MAXPTS	CI3_MET	CI3_TOTPTS	CI4	CI4_CUT	CI4_GRD_WGT	CI4_MET	CI4_PSG_WGT	CI4_RHS_WGT	CI4_STR_WGT	CNTYNAME	COUNTY	CPEMALLC	CPEMALLP	CPEMALLT	CPETALLC	CPETECOC	CPETECOP	CPETLEPC	CPETLEPP	C_RATING	C_UPDATE	DISTNAME	DISTRICT	GRDHIGH	GRDLOW	GRDSPAN	GRDTYPE	PAIRCAMP	PAIRNAME	REGION	REGNNAME
001902001	0	0	0	1	0	0	0	CAYUGA H S	 	N	N	N	N	N	N	N	N	N	N	N	90	60	234	Y	210	38	15	400	Y	150	46	31	800	Y	367	80	57	23.3	Y	18	23.8	15.3	ANDERSON	001	20	9.7	207	206	62	30.1	1	0.5	M	 	CAYUGA ISD	001902	12	09	09 - 12	S	 	 	07	REGION 07: KILGORE
001902041	0	0	0	0	0	1	0	CAYUGA MIDDLE	 	N	N	N	N	N	N	N	N	N	N	N	84	60	222	Y	187	31	28	400	Y	122	36	27	800	Y	284	42	13	.	Y	.	.	42	ANDERSON	001	21	15.2	138	120	47	39.2	0	0	M	 	CAYUGA ISD	001902	08	06	06 - 08	M	 	 	07	REGION 07: KILGORE
001902103	0	 	0	0	0	0	 	CAYUGA EL	 	N	N	N	N	N	N	N	N	N	N	N	88	60	171	Y	150	46	30	400	Y	185	40	28	600	Y	238	36	12	.	Y	.	.	36	ANDERSON	001	32	15.2	210	251	101	40.2	0	0	M	 	CAYUGA ISD	001902	05	EE	EE - 05	E	 	 	07	REGION 07: KILGORE
001903001	1	0	0	0	1	1	1	ELKHART H S	 	N	N	N	N	N	N	N	N	N	N	N	89	60	434	Y	385	25	15	400	Y	101	49	31	800	Y	391	75	57	24	Y	15.7	19.9	15.8	ANDERSON	001	51	13.2	386	355	158	44.5	0	0	M	 	ELKHART ISD	001903	12	09	09 - 12	S	 	 	07	REGION 07: KILGORE
001903002	 	 	 	 	 	 	 	ELKHART DAEP	 	N	N	N	Y	N	N	Y	N	N	N	N	.	60	.	X	.	.	28	0	X	.	.	27	0	X	.	.	.	.	X	.	.	.	ANDERSON	001	5	100	5	1	1	100	0	0	X	 	ELKHART ISD	001903	08	08	08 - 08	M	 	 	07	REGION 07: KILGORE
001903041	0	1	0	0	0	0	0	ELKHART MIDDLE	 	N	N	N	N	N	N	N	N	N	N	N	80	60	549	Y	441	32	28	600	Y	191	38	27	800	Y	300	34	13	.	Y	.	.	33.5	ANDERSON	001	34	10.9	313	304	161	53	0	0	M	 	ELKHART ISD	001903	08	06	06 - 08	M	 	 	07	REGION 07: KILGORE
001903101	 	 	 	 	 	 	 	ELKHART EL	 	N	N	N	N	N	N	N	Y	N	N	N	.	.	.	P	.	.	.	0	P	.	.	.	0	P	.	.	.	.	P	.	.	.	ANDERSON	001	23	15	153	301	187	62.1	10	3.3	M	 	ELKHART ISD	001903	02	PK	PK - 02	E	001903102	ELKHART INT	07	REGION 07: KILGORE
001903102	0	 	1	1	0	0	 	ELKHART INT	 	N	N	N	N	N	N	N	N	N	Y	N	88	60	373	Y	329	49	30	400	Y	195	43	28	600	Y	256	45	12	.	Y	.	.	45	ANDERSON	001	40	13.7	292	256	141	55.1	6	2.3	M	 	ELKHART ISD	001903	05	03	03 - 05	E	 	 	07	REGION 07: KILGORE
001904001	0	0	0	1	0	0	0	FRANKSTON H S	 	N	N	N	N	N	N	N	N	N	N	N	86	60	273	Y	235	36	15	400	Y	144	44	31	800	Y	351	84	57	25	Y	25	21.2	13	ANDERSON	001	47	18.4	255	223	119	53.4	1	0.4	M	 	FRANKSTON ISD	001904	12	09	09 - 12	S	 	 	07	REGION 07: KILGORE
001904041	0	0	0	0	1	1	0	FRANKSTON MIDDLE	 	N	N	N	N	N	N	N	N	N	N	N	74	60	320	Y	238	30	28	600	Y	177	35	27	800	Y	278	36	13	.	Y	.	.	36	ANDERSON	001	27	13.6	198	173	87	50.3	3	1.7	M	 	FRANKSTON ISD	001904	08	06	06 - 08	M	 	 	07	REGION 07: KILGORE
