campus_id|campus_name|district_name|rating|i1_target|i1_score|i2_target|i2_score|i3_target|i3_score|i4_target|i4_score|year
001902001|CAYUGA H S|CAYUGA ISD|M|50|88|17|31|55|85|75|88|2013
001902041|CAYUGA MIDDLE|CAYUGA ISD|M|50|85|29|31|55|76|75|.|2013
001902103|CAYUGA EL|CAYUGA ISD|M|50|89|30|45|55|85|75|.|2013
001903001|ELKHART H S|ELKHART ISD|M|50|83|17|29|55|74|75|86|2013
001903041|ELKHART MIDDLE|ELKHART ISD|M|50|77|29|36|55|66|75|.|2013
001903101|ELKHART EL|ELKHART ISD|M|.|.|30|.|.|.|.|.|2013
001903102|ELKHART INT|ELKHART ISD|M|50|85|30|51|55|85|75|.|2013
001904001|FRANKSTON H S|FRANKSTON ISD|M|50|80|17|26|55|73|75|96|2013
001904041|FRANKSTON MIDDLE|FRANKSTON ISD|M|50|80|29|33|55|67|75|.|2013
001904102|FRANKSTON EL|FRANKSTON ISD|M|50|83|30|50|55|78|75|.|2013
001906002|NECHES H S|NECHES ISD|M|50|84|17|23|55|78|75|89|2013
001906102|NECHES EL|NECHES ISD|M|50|89|30|42|55|78|75|.|2013
001907001|PALESTINE H S|PALESTINE ISD|M|50|67|17|21|55|63|75|92|2013
001907041|PALESTINE MIDDLE|PALESTINE ISD|M|50|74|29|39|55|69|75|.|2013
001907101|NORTHSIDE PRI|PALESTINE ISD|M|.|.|30|.|.|.|.|.|2013
001907102|WASHINGTON EARLY CHILDHOOD CENTER|PALESTINE ISD|M|.|.|30|.|.|.|.|.|2013
001907107|SOUTHSIDE EL|PALESTINE ISD|M|50|70|30|.|55|71|75|.|2013
001907110|STORY INT|PALESTINE ISD|M|50|67|30|36|55|62|75|.|2013
001908002|WESTWOOD H S|WESTWOOD ISD|M|50|78|17|19|55|73|75|87|2013
001908041|WESTWOOD J H|WESTWOOD ISD|M|50|75|29|34|55|74|75|.|2013
001908101|WESTWOOD EL|WESTWOOD ISD|M|50|65|30|33|55|63|75|.|2013
001908102|WESTWOOD PRI|WESTWOOD ISD|M|.|.|30|.|.|.|.|.|2013
001909001|SLOCUM H S|SLOCUM ISD|M|50|85|17|33|55|82|75|83|2013
001909101|SLOCUM EL|SLOCUM ISD|M|50|73|30|47|55|72|75|.|2013
002901001|ANDREWS H S|ANDREWS ISD|M|50|69|17|20|55|62|75|93|2013
002901002|ANDREWS EDUCATION CENTER|ANDREWS ISD|A|25|64|9|.|30|.|45|100|2013
002901041|ANDREWS MIDDLE|ANDREWS ISD|M|50|69|29|30|55|62|75|.|2013
002901101|DEVONIAN EL|ANDREWS ISD|M|50|68|30|.|55|64|75|.|2013
002901104|UNDERWOOD EL|ANDREWS ISD|M|50|68|30|31|55|68|75|.|2013
002901105|CLEARFORK EL|ANDREWS ISD|M|.|.|30|.|.|.|.|.|2013
003801001|PINEYWOODS COMMUNITY ACADEMY H S|PINEYWOODS COMMUNITY ACADEMY|M|50|80|17|29|55|69|75|87|2013
003801103|PINEYWOODS COMMUNITY ACADEMY EL|PINEYWOODS COMMUNITY ACADEMY|M|50|72|30|49|55|60|75|.|2013
003902001|HUDSON H S|HUDSON ISD|M|50|87|17|23|55|79|75|92|2013
003902004|STUBBLEFIELD LRN CTR|HUDSON ISD|Z|25|.|9|.|30|.|45|90|2013
003902041|HUDSON MIDDLE|HUDSON ISD|M|50|86|29|43|55|80|75|.|2013
003902101|W F PEAVY PRIMARY|HUDSON ISD|M|.|.|30|.|.|.|.|.|2013
003902102|W H BONNER EL|HUDSON ISD|M|50|84|30|44|55|80|75|.|2013
003903001|LUFKIN H S|LUFKIN ISD|M|50|80|17|29|55|76|75|86|2013
003903004|STUBBLEFIELD LRN CTR|LUFKIN ISD|A|25|82|9|.|30|.|45|96|2013
003903044|LUFKIN MIDDLE|LUFKIN ISD|M|50|80|29|37|55|75|75|.|2013
003903120|ANDERSON EL|LUFKIN ISD|M|50|81|30|52|55|77|75|.|2013
003903121|BRANDON EL|LUFKIN ISD|M|50|75|30|43|55|63|75|.|2013
003903122|BROOKHOLLOW EL|LUFKIN ISD|M|50|74|30|52|55|71|75|.|2013
003903123|COSTON EL|LUFKIN ISD|M|50|52|30|49|55|62|75|.|2013
003903124|DUNBAR PRI|LUFKIN ISD|M|.|.|30|.|.|.|.|.|2013
003903125|GARRETT PRI|LUFKIN ISD|M|.|.|30|.|.|.|.|.|2013
003903126|HACKNEY PRI|LUFKIN ISD|M|.|.|30|.|.|.|.|.|2013
003903127|HERTY PRI|LUFKIN ISD|M|.|.|30|.|.|.|.|.|2013
003903128|KURTH PRI|LUFKIN ISD|M|.|.|30|.|.|.|.|.|2013
003903129|SLACK EL|LUFKIN ISD|M|50|69|30|37|55|71|75|.|2013
